number,codeinsee,codepostal,cp,etage,idagence,idannonce,idtiers,idtypechauffage,idtypecommerce,idtypecuisine,idtypepublicationsourcecouplage,naturebien,nb_chambres,nb_photos,nb_pieces,position,prix,si_balcon,si_sdEau,si_sdbain,surface,typedebien,ville
11,750116,75016,75016,0,178817,144013899,227883,0,0,équipée,SL,1,2,13,3,11,59000,1,0,0,69,Appartement,Paris 16ème
8,750110,75010,75010,0,12089,149750677,3765,0,0,aucune,SL,1,2,7,1,8,77500,0,0,0,8.49,Appartement,Paris 10ème
6,750118,75018,75018,0,115811,138648733,108873,0,0,aucune,SL,1,1,8,2,6,94000,0,0,0,37,Appartement,Paris 18ème
16,750110,75010,75010,0,12089,149750679,3765,0,0,aucune,SL,1,2,4,1,16,96000,0,0,0,10.26,Appartement,Paris 10ème
4,750116,75016,75016,0,97567,147153067,145098,0,0,0,SL,1,1,5,2,4,100000,0,0,0,14.93,Appartement,Paris 16ème
0,770288,77000,77000,0,274799,149790411,302393,0,0,équipée,SL,1,1,5,2,0,110000,0,0,0,38.65,Appartement,Melun
2,910174,91100,91100,0,2855,140705709,13760,0,0,0,SL,1,1,12,2,2,110000,1,0,0,41.57,Appartement,Corbeil Essonnes
14,750116,75016,75016,0,89064,145549111,6151,0,0,équipée,SL,1,1,6,3,14,110000,1,0,0,72,Appartement,Paris 16ème
6,910223,91150,91150,0,252611,150029235,275082,0,0,coin cuisine équipé,SL,1,1,8,2,6,111000,1,0,0,43,Appartement,Étampes
3,780314,78440,78440,0,292153,145288899,334060,0,0,coin cuisine,SL,1,2,7,3,3,111000,0,0,0,48,Appartement,Issou
5,780335,78520,78520,0,125215,145322775,180692,0,0,équipée,SL,1,2,5,3,5,111000,0,0,0,45.18,Appartement,Limay
7,910174,91100,91100,0,2855,149869989,13760,0,0,0,SL,1,1,10,2,7,112000,0,0,0,43.1,Appartement,Corbeil Essonnes
8,910228,91000,91000,0,332892,148677607,396146,0,0,séparée,SL,1,1,9,2,8,113000,1,0,0,50,Appartement,Évry
9,770014,77210,77210,0,274799,146756627,302393,0,0,séparée équipée,SL,1,2,5,3,9,114000,1,0,0,59.14,Appartement,Avon
10,910228,91000,91000,0,102188,149067063,153025,0,0,équipée,SL,1,1,6,2,10,114100,1,0,0,48.03,Appartement,Evry
11,930066,93200,93200,0,10742,146080425,138250,0,0,coin cuisine,SL,1,1,5,2,11,114900,0,0,0,26,Appartement,Saint-Denis
12,780314,78440,78440,0,292153,138526073,334060,0,0,aucune,SL,1,1,7,2,12,115000,0,0,0,39.73,Appartement,Issou
16,780621,78190,78190,0,128913,145592463,187758,0,0,séparée,SL,1,2,5,3,16,115500,0,0,0,56,Appartement,Trappes
17,910174,91100,91100,0,274794,148044999,297232,0,0,américaine,SL,1,1,6,2,17,116500,0,0,0,40.2,Appartement,Corbeil Essonnes
